timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
19224788,1011.87,6.47,-67.22,70.0,280.0,0.0
19231789,1011.14,6.47,-66.12,0.0,280.0,0.0
19240789,1010.77,6.34,-65.88,-140.0,210.0,0.0
19249789,1011.5,6.71,-68.44,-210.0,210.0,70.0
19256790,1010.77,6.22,-65.88,-210.0,280.0,0.0
19265789,1010.89,5.86,-66.25,0.0,210.0,0.0
19274789,1010.89,6.34,-67.59,0.0,280.0,0.0
19281789,1010.28,6.34,-66.73,0.0,210.0,70.0
19290787,1010.89,6.34,-66.49,0.0,280.0,0.0
19297790,1011.01,6.22,-66.49,140.0,280.0,70.0
19306788,1010.77,5.61,-67.1,140.0,210.0,0.0
19315789,1011.14,6.95,-66.73,70.0,210.0,0.0
19322789,1009.92,6.1,-66.61,-140.0,280.0,70.0
19331788,1011.87,6.95,-67.34,-210.0,210.0,0.0
19338790,1011.01,5.61,-66.98,-140.0,280.0,0.0
19347789,1010.65,5.61,-66.12,-70.0,280.0,70.0
19356789,1010.89,5.86,-68.2,0.0,210.0,0.0
19363789,1010.89,6.47,-65.51,-70.0,280.0,0.0
19372789,1010.28,6.59,-66.73,-210.0,210.0,0.0
19381788,1011.26,6.1,-67.22,-280.0,280.0,0.0
19388790,1010.89,5.37,-66.86,-140.0,280.0,0.0
19397789,1011.14,5.98,-66.25,-70.0,280.0,0.0
19404790,1010.65,6.47,-66.98,-140.0,280.0,0.0
19413788,1011.38,6.22,-66.98,-210.0,210.0,0.0
19422788,1010.89,6.47,-68.2,-210.0,210.0,0.0
19429789,1010.65,5.86,-66.61,-140.0,210.0,0.0
19438789,1011.01,6.1,-67.1,-140.0,210.0,0.0
19445790,1011.01,6.34,-67.59,-70.0,280.0,0.0
19454788,1010.65,6.34,-66.49,-140.0,280.0,0.0
19463788,1010.77,6.71,-66.61,0.0,280.0,70.0
19470790,1010.53,6.71,-66.12,0.0,280.0,0.0
19479789,1011.38,6.1,-67.34,0.0,280.0,0.0
19488789,1011.38,5.86,-66.12,0.0,280.0,0.0
19495790,1011.01,5.73,-66.37,0.0,280.0,70.0
19504789,1011.01,6.47,-67.22,-70.0,280.0,0.0
19511790,1011.26,6.34,-66.0,-140.0,350.0,0.0
